trip_id,event_day,hidden_pair_id,income_bin,tract_median_income,matched_truth
syn-1-13-p00-1,2026-01-27,2026-01-27:pair:13:00,1,48000,True
syn-1-13-p01-0,2026-01-27,2026-01-27:pair:13:01,4,122000,True
syn-1-13-p01-1,2026-01-27,2026-01-27:pair:13:01,4,122000,True
syn-1-13-p02-0,2026-01-27,2026-01-27:pair:13:02,2,65000,True
syn-1-13-p02-1,2026-01-27,2026-01-27:pair:13:02,1,48000,True
syn-1-13-p03-0,2026-01-27,2026-01-27:pair:13:03,1,48000,True
syn-1-13-p03-1,2026-01-27,2026-01-27:pair:13:03,2,65000,True
syn-1-13-u00,2026-01-27,,4,122000,False
syn-1-13-u01,2026-01-27,,0,35000,False
syn-1-13-u02,2026-01-27,,1,48000,False
syn-1-13-u03,2026-01-27,,2,65000,False
syn-1-14-p00-0,2026-01-27,2026-01-27:pair:14:00,3,87000,True
syn-1-14-p00-1,2026-01-27,2026-01-27:pair:14:00,3,87000,True
syn-1-14-p01-0,2026-01-27,2026-01-27:pair:14:01,3,87000,True
syn-1-14-p01-1,2026-01-27,2026-01-27:pair:14:01,1,48000,True
syn-1-14-p02-0,2026-01-27,2026-01-27:pair:14:02,4,122000,True
syn-1-14-p02-1,2026-01-27,2026-01-27:pair:14:02,2,65000,True
syn-1-14-p03-0,2026-01-27,2026-01-27:pair:14:03,0,35000,True
syn-1-14-p03-1,2026-01-27,2026-01-27:pair:14:03,0,35000,True
syn-1-14-u00,2026-01-27,,0,35000,False
syn-1-14-u01,2026-01-27,,1,48000,False
syn-1-14-u02,2026-01-27,,2,65000,False
syn-1-14-u03,2026-01-27,,3,87000,False
syn-1-15-p00-0,2026-01-27,2026-01-27:pair:15:00,1,48000,True
syn-1-15-p00-1,2026-01-27,2026-01-27:pair:15:00,1,48000,True
syn-1-15-p01-0,2026-01-27,2026-01-27:pair:15:01,3,87000,True
syn-1-15-p01-1,2026-01-27,2026-01-27:pair:15:01,4,122000,True
syn-1-15-p02-0,2026-01-27,2026-01-27:pair:15:02,3,87000,True
syn-1-15-p02-1,2026-01-27,2026-01-27:pair:15:02,3,87000,True
syn-1-15-p03-0,2026-01-27,2026-01-27:pair:15:03,2,65000,True
syn-1-15-p03-1,2026-01-27,2026-01-27:pair:15:03,2,65000,True
syn-1-15-u00,2026-01-27,,1,48000,False
syn-1-15-u01,2026-01-27,,2,65000,False
syn-1-15-u02,2026-01-27,,3,87000,False
syn-1-15-u03,2026-01-27,,4,122000,False
syn-1-16-p00-0,2026-01-27,2026-01-27:pair:16:00,1,48000,True
syn-1-16-p00-1,2026-01-27,2026-01-27:pair:16:00,1,48000,True
syn-1-16-p01-0,2026-01-27,2026-01-27:pair:16:01,0,35000,True
syn-1-16-p01-1,2026-01-27,2026-01-27:pair:16:01,2,65000,True
syn-1-16-p02-0,2026-01-27,2026-01-27:pair:16:02,3,87000,True
syn-1-16-p02-1,2026-01-27,2026-01-27:pair:16:02,2,65000,True
syn-1-16-p03-0,2026-01-27,2026-01-27:pair:16:03,2,65000,True
syn-1-16-p03-1,2026-01-27,2026-01-27:pair:16:03,2,65000,True
syn-1-16-u00,2026-01-27,,2,65000,False
syn-1-16-u01,2026-01-27,,3,87000,False
syn-1-16-u02,2026-01-27,,4,122000,False
syn-1-16-u03,2026-01-27,,0,35000,False
syn-1-17-p00-0,2026-01-27,2026-01-27:pair:17:00,3,87000,True
syn-1-17-p00-1,2026-01-27,2026-01-27:pair:17:00,0,35000,True
syn-1-17-p01-0,2026-01-27,2026-01-27:pair:17:01,1,48000,True
syn-1-17-p01-1,2026-01-27,2026-01-27:pair:17:01,0,35000,True
syn-1-17-p02-0,2026-01-27,2026-01-27:pair:17:02,4,122000,True
syn-1-17-p02-1,2026-01-27,2026-01-27:pair:17:02,4,122000,True
syn-1-17-p03-0,2026-01-27,2026-01-27:pair:17:03,2,65000,True
syn-1-17-p03-1,2026-01-27,2026-01-27:pair:17:03,2,65000,True
syn-1-17-u00,2026-01-27,,3,87000,False
syn-1-17-u01,2026-01-27,,4,122000,False
syn-1-17-u02,2026-01-27,,0,35000,False
syn-1-17-u03,2026-01-27,,1,48000,False
syn-1-18-p00-0,2026-01-27,2026-01-27:pair:18:00,1,48000,True
syn-1-18-p00-1,2026-01-27,2026-01-27:pair:18:00,1,48000,True
syn-1-18-p01-0,2026-01-27,2026-01-27:pair:18:01,1,48000,True
syn-1-18-p01-1,2026-01-27,2026-01-27:pair:18:01,2,65000,True
syn-1-18-p02-0,2026-01-27,2026-01-27:pair:18:02,0,35000,True
syn-1-18-p02-1,2026-01-27,2026-01-27:pair:18:02,3,87000,True
syn-1-18-p03-0,2026-01-27,2026-01-27:pair:18:03,2,65000,True
syn-1-18-p03-1,2026-01-27,2026-01-27:pair:18:03,3,87000,True
syn-1-18-u00,2026-01-27,,4,122000,False
syn-1-18-u01,2026-01-27,,0,35000,False
syn-1-18-u02,2026-01-27,,1,48000,False
syn-1-18-u03,2026-01-27,,2,65000,False
syn-1-19-p00-0,2026-01-27,2026-01-27:pair:19:00,0,35000,True
syn-1-19-p00-1,2026-01-27,2026-01-27:pair:19:00,2,65000,True
syn-1-19-p01-0,2026-01-27,2026-01-27:pair:19:01,2,65000,True
syn-1-19-p01-1,2026-01-27,2026-01-27:pair:19:01,1,48000,True
syn-1-19-p02-0,2026-01-27,2026-01-27:pair:19:02,0,35000,True
syn-1-19-p02-1,2026-01-27,2026-01-27:pair:19:02,0,35000,True
syn-1-19-p03-0,2026-01-27,2026-01-27:pair:19:03,1,48000,True
syn-1-19-p03-1,2026-01-27,2026-01-27:pair:19:03,1,48000,True
syn-1-19-u00,2026-01-27,,0,35000,False
syn-1-19-u01,2026-01-27,,1,48000,False
syn-1-19-u02,2026-01-27,,2,65000,False
syn-1-19-u03,2026-01-27,,3,87000,False
